PatternType,Language,PackageType,Pattern
File,Java,GlassFish,sun-web.xml
File,Java,JBoss,jboss-web.xml
File,Java,JBoss,jboss-web.xml
File,Java,Jetty,jetty.xml
File,Java,Jetty,webdefault.xml
File,Java,Payara,glassfish-resources.xml
File,Java,Resin,resin.xml
File,Java,Tomcat,tomee.xml
File,Java,WebLogic,weblogic.xml
File,Java,WebSphere,ibm-web-bnd.xml
Line,Java,HSQLDB (HyperSQL Database),import org.hsqldb
Line,Java,Amazon RDS (MySQL),jdbc:mysql
Line,Java,Amazon RDS (PostgreSQL),jdbc:postgresql
Line,Java,AngularJS,import org.angularjs
Line,Java,Apache ActiveMQ (Message Broker),ActiveMQConnectionFactory(
Line,Java,Apache Camel,org.apache.camel
Line,Java,Apache Derby,jdbc:derby
Line,Java,Apache Hive,jdbc:hive2
Line,Java,Apache JCS,import org.apache.jcs
Line,Java,Apache Pivot,import org.apache.pivot
Line,Java,Apache Wicket,import org.apache.wicket
Line,Java AWT,import java.awt
Line,Java,Batch,import org.springframework.batch
Line,Java,Caffeine Cache,import com.github.benmanes.caffeine
Line,Java,Camel,import org.apache.camel
Line,Java,Cassandra,import com.datastax
Line,Java,Cassandra,import com.datastax
Line,Java,Cassandra,jdbc:cassandra
Line,Java,ClickHouse,jdbc:clickhouse
Line,Java,Couchbase,import com.couchbase
Line,Java,Data Transformation,import org.springframework.integration.annotation.ServiceActivator
Line,Java,Docker Client,import com.github.dockerjava.api.DockerClient
Line,Java,Ehcache,import net.sf.ehcache
Line,Java,Elasticsearch,import org.elasticsearch
Line,Java,ETL,import org.apache.nifi.processor
Line,Java,FasterXML,import com.fasterxml.jackson
Line,Java,Geospatial,import org.geotools.geometry.jts
Line,Java,Google Web Toolkit,import com.google.gwt
Line,Java,Guava Cache,import com.google.common.cache
Line,Java,H2,import org.h2
Line,Java,H2,jdbc:h2
Line,Java,Hadoop,import org.apache.hadoop
Line,Java,Hazelcast Cache,import com.hazelcast
Line,Java,Headless CMS Client,import com.contentful.java.cda.CDAClient
Line,Java,IBM Db2,jdbc:db2
Line,Java,IBM MQ,import com.ibm.mq
Line,Java,Infinispan,import org.infinispan
Line,Java,InfluxDB,import org.influxdb
Line,Java,JavaFX,import javafx
Line,Java,JSF,import javax.faces
Line,Java,JWTS,import io.jsonwebtoken
Line,Java,Kafka,import org.apache.kafka
Line,Java,Kubernetes,import io.kubernetes
